ID	DOCULECT	CONCEPT	COUNTERPART	IPA	TOKENS	COGID	CLPA_TOKENS	CLPA_IDS	CONCEPTICON_ID	GLOTTOLOG
781	German	not	nicht	nixt	n i x t	24	n i x t	c105 v191 c772 c118	1240	stan1295
782	Hawaiian	not	`a`ole	ʔaʔole	ʔ a ʔ o l e	29	ʔ a ʔ o l e	c405 v130 c405 v042 c548 v200	1240	hawa1245
783	Navajo	not	doo...da	doː	d oː	28	d oː	c143 v035	1240	nava1243
784	Turkish	not	değil	deɣil	d e ɣ i l	26	d e ɣ i l	c143 v200 c774 v191 c548	1240	nucl1301
785	Albanian	now	tani	tani	t a n i	235	t a n i	c118 v130 c105 v191	1376	gheg1238
786	English	now	now	nau	n au	232	n au	c105 d026	1376	stan1293
787	French	now	maintenant	mɛ̃tnɑ̃	m ɛ̃ t n ɑ̃	233	m ɛ̃ t n ɑ̃	c239 v231 c118 c105 v088	1376	stan1290
788	German	now	nun	nuːn	n uː n	232	n uː n	c105 v019 c105	1376	stan1295
789	Hawaiian	now	`ānō	ʔaːnoː	ʔ aː n oː	237	ʔ aː n oː	c405 v137 c105 v035	1376	hawa1245
790	Navajo	now	k'ad	kˀad	kˀ a d	236	kˀ a d	c841 v130 c143	1376	nava1243
791	Turkish	now	şimdi	ʃimdi	ʃ i m d i	234	ʃ i m d i	c677 v191 c239 c143 v191	1376	nucl1301
792	Albanian	old	vjetër	vjetər	v j e t ə r	-343	v j e t ə r	c446 c564 v200 c118 v155 c151	1229	gheg1238
793	English	old	old	old	o l d	342	o l d	v042 c548 c143	1229	stan1293
794	French	old	vieil	vjɛj	v j ɛ j	343	v j ɛ j	c446 c564 v229 c564	1229	stan1290
795	German	old	alt	alt	a l t	342	a l t	v130 c548 c118	1229	stan1295
796	Hawaiian	old	o`o	oʔo	o ʔ o	346	o ʔ o	v042 c405 v042	1229	hawa1245
797	Navajo	old	sání	sayni	s ai n i	345	s ai n i	c087 d030 c105 v191	1229	nava1243
798	Turkish	old	ihtiyar	ihtijar	i h t i j a r	-344	i h t i j a r	v191 c401 c118 v191 c564 v130 c151	1229	nucl1301
799	Albanian	one	një	ɲə	ɲ ə	663	ɲ ə	c589 v155	1493	gheg1238
800	English	one	one	wən	w ə n	661	w ə n	c457 v155 c105	1493	stan1293
801	French	one	un	œ̃	œ̃	661	œ̃	v175	1493	stan1290
802	German	one	eins	ain	ai n	661	ai n	d030 c105	1493	stan1295
803	Hawaiian	one	`ekahi	ʔekahi	ʔ e k a h i	665	ʔ e k a h i	c405 v200 c831 v130 c401 v191	1493	hawa1245
804	Navajo	one	ƚáa'ii	ɬayʔiː	ɬ ai ʔ iː	664	ɬ ai ʔ iː	c534 d030 c405 v183	1493	nava1243
805	Turkish	one	bir	bir	b i r	662	b i r	c254 v191 c151	1493	nucl1301
806	Albanian	other	tjetër	tjetər	t j e t ə r	1005	t j e t ə r	c118 c564 v200 c118 v155 c151	197	gheg1238
807	English	other	other	əðər	ə ð ə r	1002	ə ð ə r	v155 c415 v155 c151	197	stan1293
808	French	other	autre	otr	o t r	1003	o t r	v042 c118 c151	197	stan1290
809	German	other	anderer	andər	a n d ə r	1002	a n d ə r	v130 c105 c143 v155 c151	197	stan1295
810	Hawaiian	other	`ē a`e	ʔeː	ʔ eː	1007	ʔ eː	c405 v202	197	hawa1245
811	Navajo	other	ƚah	ɬah	ɬ a h	1006	ɬ a h	c534 v130 c401	197	nava1243
812	Turkish	other	başka	baʃka	b a ʃ k a	1004	b a ʃ k a	c254 v130 c677 c831 v130	197	nucl1301
813	Albanian	path	shteg	ʃteg	ʃ t e g	557	ʃ t e g	c677 c118 v200 c824	2252	gheg1238
814	English	path	path	paθ	p a θ	554	p a θ	c288 v130 c413	2252	stan1293
815	French	path	sentier	sɑ̃tje	s ɑ̃ t j e	555	s ɑ̃ t j e	c087 v088 c118 c564 v200	2252	stan1290
816	German	path	Pfad	p͡faːd	p͡f aː d	554	pf aː d	c420 v137 c143	2252	stan1295
817	Hawaiian	path	ala	ala	a l a	559	a l a	v130 c548 v130	2252	hawa1245
818	Navajo	path	'atiin	tiːn	t iː n	558	t iː n	c118 v183 c105	2252	nava1243
819	Turkish	path	yol	jol	j o l	556	j o l	c564 v042 c548	2252	nucl1301
820	Albanian	play	luan	lua	l u a	1051	l u a	c548 v027 v130	1413	gheg1238
821	English	play	plays	ple	p l e	1049	p l e	c288 c548 v200	1413	stan1293
822	French	play	joue	ʒue	ʒ u e	1048	ʒ u e	c679 v027 v200	1413	stan1290
823	German	play	spielt	ʃpiːl	ʃ p iː l	1047	ʃ p iː l	c677 c288 v183 c548	1413	stan1295
824	Hawaiian	play	pā`ani	paːʔani	p aː ʔ a n i	1054	p aː ʔ a n i	c288 v137 c405 v130 c105 v191	1413	hawa1245
825	Navajo	play	naashné	naːne	n aː n e	1052	n aː n e	c105 v137 c105 v200	1413	nava1243
826	Turkish	play	oynayor	ojna	o j n a	1050	o j n a	v042 c564 c105 v130	1413	nucl1301
827	Albanian	pull	tërheq	tərhec	t ə r h e c	851	t ə r h e c	c118 v155 c151 c401 v200 c600	1455	gheg1238
828	English	pull	pulls	pʊl	p ʊ l	849	p ʊ l	c288 v056 c548	1455	stan1293
829	French	pull	tire	tire	t i r e	848	t i r e	c118 v191 c151 v200	1455	stan1290
830	German	pull	zieht	ʦiː	ʦ iː	847	ts iː	c015 v183	1455	stan1295
831	Hawaiian	pull	huki	huki	h u k i	854	h u k i	c401 v027 c831 v191	1455	hawa1245
832	Navajo	pull	yisdzį́į́s	jiʣĩ́ːs	j i ʣ ĩ́ː s	852	j i dz ĩː s	c564 v191 c020 v181 c087	1455	nava1243
833	Turkish	pull	çekiyor	ʧek	ʧ e k	850	tʃ e k	c645 v200 c831	1455	nucl1301
834	Albanian	push	shtyn	ʃty	ʃ t y	1202	ʃ t y	c677 c118 v166	1452	gheg1238
835	English	push	pushes	pʊʃ	p ʊ ʃ	-1203	p ʊ ʃ	c288 v056 c677	1452	stan1293
836	French	push	pousse	puse	p u s e	1203	p u s e	c288 v027 c087 v200	1452	stan1290
837	German	push	stößt	ʃtoːs	ʃ t oː s	1202	ʃ t oː s	c677 c118 v035 c087	1452	stan1295
838	Hawaiian	push	pahu	pahu	p a h u	1207	p a h u	c288 v130 c401 v027	1452	hawa1245
839	Navajo	push	béshhííƚ	beɣiːɬ	b e ɣ iː ɬ	1205	b e ɣ iː ɬ	c254 v200 c774 v183 c534	1452	nava1243
840	Turkish	push	itiyor	it	i t	1204	i t	v191 c118	1452	nucl1301
841	Albanian	rain	shi	ʃi	ʃ i	1091	ʃ i	c677 v191	658	gheg1238
842	English	rain	rain	ren	r e n	1088	r e n	c151 v200 c105	658	stan1293
843	French	rain	pluie	plɥi	p l ɥ i	1089	p l ɥ i	c288 c548 c453 v191	658	stan1290
844	German	rain	Regen	reːgən	r eː g ə n	1088	r eː g ə n	c151 v202 c824 v155 c105	658	stan1295
845	Hawaiian	rain	ua	ua	u a	1093	u a	v027 v130	658	hawa1245
846	Navajo	rain	níƚtsą́	niɬʦã́	n i ɬ ʦ ã́	1092	n i ɬ ts ã	c105 v191 c534 c015 v147	658	nava1243
847	Turkish	rain	yağmur	jaɣmur	j a ɣ m u r	1090	j a ɣ m u r	c564 v130 c774 c239 v027 c151	658	nucl1301
848	Albanian	red	kuq	kuc	k u c	-703	k u c	c831 v027 c600	156	gheg1238
849	English	red	red	rɛd	r ɛ d	701	r ɛ d	c151 v229 c143	156	stan1293
850	French	red	rouge	ruʒ	r u ʒ	701	r u ʒ	c151 v027 c679	156	stan1290
851	German	red	rot	roːt	r oː t	701	r oː t	c151 v035 c118	156	stan1295
852	Hawaiian	red	`ula	ʔula	ʔ u l a	705	ʔ u l a	c405 v027 c548 v130	156	hawa1245
853	Navajo	red	ƚichííh	ɬiʧiːh	ɬ i ʧ iː h	704	ɬ i tʃ iː h	c534 v191 c645 v183 c401	156	nava1243
854	Turkish	red	kızıl	kɯzɯl	k ɯ z ɯ l	702	k ɯ z ɯ l	c831 v081 c078 v081 c548	156	nucl1301
855	Albanian	right	djathtë	djaθt	d j a θ t	673	d j a θ t	c143 c564 v130 c413 c118	1019	gheg1238
856	English	right	right	rait	r ai t	671	r ai t	c151 d030 c118	1019	stan1293
857	French	right	droit	drwat	d r w a t	671	d r w a t	c143 c151 c457 v130 c118	1019	stan1290
858	German	right	recht	rext	r e x t	671	r e x t	c151 v200 c772 c118	1019	stan1295
859	Hawaiian	right	`ākau	ʔaːkau	ʔ aː k a u	675	ʔ aː k a u	c405 v137 c831 v130 v027	1019	hawa1245
860	Navajo	right	nish'ná	niʃnay	n i ʃ n ai	674	n i ʃ n ai	c105 v191 c677 c105 d030	1019	nava1243
861	Turkish	right	sağ	saɣ	s a ɣ	672	s a ɣ	c087 v130 c774	1019	nucl1301
862	Albanian	river	lumë	lum	l u m	312	l u m	c548 v027 c239	666	gheg1238
863	English	river	river	rɪvər	r ɪ v ə r	-310	r ɪ v ə r	c151 v219 c446 v155 c151	666	stan1293
864	French	river	fleuve	fløv	f l ø v	-309	f l ø v	c447 c548 v171 c446	666	stan1290
865	German	river	Fluss	flus	f l u s	308	f l u s	c447 c548 v027 c087	666	stan1295
866	Hawaiian	river	kahawai	kahawai	k a h a w a i	314	k a h a w a i	c831 v130 c401 v130 c457 v130 v191	666	hawa1245
867	Navajo	river	tooh	toːh	t oː h	313	t oː h	c118 v035 c401	666	nava1243
868	Turkish	river	nehir	nehir	n e h i r	-311	n e h i r	c105 v200 c401 v191 c151	666	nucl1301
869	Albanian	root	rrënjë	rːəɲ	rː ə ɲ	911	rː ə ɲ	c160 v155 c589	670	gheg1238
870	English	root	root	rut	r u t	-911	r u t	c151 v027 c118	670	stan1293
871	French	root	racine	rasin	r a s i n	911	r a s i n	c151 v130 c087 v191 c105	670	stan1290
872	German	root	Wurzel	vurʦəl	v u r ʦ ə l	911	v u r ts ə l	c446 v027 c151 c015 v155 c548	670	stan1295
873	Hawaiian	root	a`a	aʔa	a ʔ a	914	a ʔ a	v130 c405 v130	670	hawa1245
874	Navajo	root	'akétl'óól	ketˡˀoːl	k e tˡˀ oː l	913	k e tˡˀ oː l	c831 v200 c120 v035 c548	670	nava1243
875	Turkish	root	kök	køk	k ø k	912	k ø k	c831 v171 c831	670	nucl1301
876	Albanian	rotten	kalbur	kalbur	k a l b u r	463	k a l b u r	c831 v130 c548 c254 v027 c151	1728	gheg1238
877	English	rotten	rotten	rɑtən	r ɑ t ə n	-461	r ɑ t ə n	c151 v089 c118 v155 c105	1728	stan1293
878	French	rotten	pourri	puri	p u r i	460	p u r i	c288 v027 c151 v191	1728	stan1290
879	German	rotten	faul	faul	f au l	460	f au l	c447 d026 c548	1728	stan1295
880	Hawaiian	rotten	pilau	pilau	p i l a u	465	p i l a u	c288 v191 c548 v130 v027	1728	hawa1245
881	Navajo	rotten	diƚdzííd	diɬʣiːd	d i ɬ ʣ iː d	464	d i ɬ dz iː d	c143 v191 c534 c020 v183 c143	1728	nava1243
882	Turkish	rotten	çürük	ʧyryk	ʧ y r y k	462	tʃ y r y k	c645 v166 c151 v166 c831	1728	nucl1301
883	Albanian	round	rrumbullák	rːumbułak	rː u m b u ł a k	317	rː u m b u lˠ a k	c160 v027 c239 c254 v027 c543 v130 c831	1395	gheg1238
884	English	round	round	raund	r au n d	-315	r au n d	c151 d026 c105 c143	1395	stan1293
885	French	round	rond	rɔ̃d	r ɔ̃ d	315	r ɔ̃ d	c151 v066 c143	1395	stan1290
886	German	round	rund	rund	r u n d	-315	r u n d	c151 v027 c105 c143	1395	stan1295
887	Hawaiian	round	poepoe	poepoe	p o e p o e	319	p o e p o e	c288 v042 v200 c288 v042 v200	1395	hawa1245
888	Navajo	round	nímaz	nimaz	n i m a z	318	n i m a z	c105 v191 c239 v130 c078	1395	nava1243
889	Turkish	round	yuvarlak	juvarlak	j u v a r l a k	316	j u v a r l a k	c564 v027 c446 v130 c151 c548 v130 c831	1395	nucl1301
890	Albanian	rub	fërkon	fərko	f ə r k o	-511	f ə r k o	c447 v155 c151 c831 v042	1449	gheg1238
891	English	rub	rubs	rəb	r ə b	509	r ə b	c151 v155 c254	1449	stan1293
892	French	rub	frotte	frɔte	f r ɔ t e	508	f r ɔ t e	c447 c151 v067 c118 v200	1449	stan1290
893	German	rub	reibt	raib	r ai b	507	r ai b	c151 d030 c254	1449	stan1295
894	Hawaiian	rub	`ānai	ʔaːnai	ʔ aː n a i	513	ʔ aː n a i	c405 v137 c105 v130 v191	1449	hawa1245
895	Navajo	rub	bídinishhish	bidiniɣiʃ	b i d i n i ɣ i ʃ	512	b i d i n i ɣ i ʃ	c254 v191 c143 v191 c105 v191 c774 v191 c677	1449	nava1243
896	Turkish	rub	sürtüyor	syrt	s y r t	510	s y r t	c087 v166 c151 c118	1449	nucl1301
897	Albanian	salt	kripë	krip	k r i p	1171	k r i p	c831 c151 v191 c288	1274	gheg1238
898	English	salt	salt	sɔlt	s ɔ l t	1169	s ɔ l t	c087 v067 c548 c118	1274	stan1293
899	French	salt	sel	sɛl	s ɛ l	1169	s ɛ l	c087 v229 c548	1274	stan1290
900	German	salt	Salz	zalʦ	z a l ʦ	1169	z a l ts	c078 v130 c548 c015	1274	stan1295
901	Hawaiian	salt	pa`akai	paʔakai	p a ʔ a k a i	1173	p a ʔ a k a i	c288 v130 c405 v130 c831 v130 v191	1274	hawa1245
902	Navajo	salt	'áshįįh	ʔayʃĩːh	ʔ ai ʃ ĩː h	1172	ʔ ai ʃ ĩː h	c405 d030 c677 v181 c401	1274	nava1243
903	Turkish	salt	tuz	tuz	t u z	1170	t u z	c118 v027 c078	1274	nucl1301
904	Albanian	sand	rërë	rər	r ə r	-445	r ə r	c151 v155 c151	671	gheg1238
905	English	sand	sand	sand	s a n d	442	s a n d	c087 v130 c105 c143	671	stan1293
906	French	sand	sable	sabl	s a b l	443	s a b l	c087 v130 c254 c548	671	stan1290
907	German	sand	Sand	zand	z a n d	442	z a n d	c078 v130 c105 c143	671	stan1295
908	Hawaiian	sand	one	one	o n e	447	o n e	v042 c105 v200	671	hawa1245
909	Navajo	sand	séí	sei	s e i	446	s e i	c087 v200 v191	671	nava1243
910	Turkish	sand	kum	kum	k u m	444	k u m	c831 v027 c239	671	nucl1301
911	Albanian	say	thotë	θ	θ	942	θ	c413	1458	gheg1238
912	English	say	says	se	s e	939	s e	c087 v200	1458	stan1293
913	French	say	dit	di	d i	940	d i	c143 v191	1458	stan1290
914	German	say	sagt	zaːg	z aː g	939	z aː g	c078 v137 c824	1458	stan1295
915	Hawaiian	say	`ōlelo	ʔoːlelo	ʔ oː l e l o	944	ʔ oː l e l o	c405 v035 c548 v200 c548 v042	1458	hawa1245
916	Navajo	say	ní	ni	n i	943	n i	c105 v191	1458	nava1243
917	Turkish	say	diyor	de	d e	941	d e	c143 v200	1458	nucl1301
918	Albanian	scratch	gërvish	gərviʃ	g ə r v i ʃ	8	g ə r v i ʃ	c824 v155 c151 c446 v191 c677	1436	gheg1238
919	English	scratch	scratches	skraʧ	s k r a ʧ	9	s k r a tʃ	c087 c831 c151 v130 c645	1436	stan1293
920	French	scratch	gratte	grat	g r a t	-8	g r a t	c824 c151 v130 c118	1436	stan1290
921	German	scratch	kratzt	kraʦ	k r a ʦ	8	k r a ts	c831 c151 v130 c015	1436	stan1295
922	Hawaiian	scratch	walu	walu	w a l u	13	w a l u	c457 v130 c548 v027	1436	hawa1245
923	Navajo	scratch	'ashch'id	ʔaʧˀid	ʔ a ʧˀ i d	11	ʔ a tʃˀ i d	c405 v130 c646 v191 c143	1436	nava1243
924	Turkish	scratch	tırmalıyor	tɯrmala	t ɯ r m a l a	10	t ɯ r m a l a	c118 v081 c151 c239 v130 c548 v130	1436	nucl1301
925	Albanian	sea	det	det	d e t	400	d e t	c143 v200 c118	1474	gheg1238
926	English	sea	sea	si	s i	397	s i	c087 v191	1474	stan1293
927	French	sea	mer	mɛr	m ɛ r	398	m ɛ r	c239 v229 c151	1474	stan1290
928	German	sea	See	zeː	z eː	397	z eː	c078 v202	1474	stan1295
929	Hawaiian	sea	kai	kai	k a i	402	k a i	c831 v130 v191	1474	hawa1245
930	Navajo	sea	tónteel	tonteːl	t o n t eː l	401	t o n t eː l	c118 v042 c105 c118 v202 c548	1474	nava1243
931	Turkish	sea	deniz	deniz	d e n i z	399	d e n i z	c143 v200 c105 v191 c078	1474	nucl1301
932	Albanian	see	sheh	ʃ	ʃ	385	ʃ	c677	1409	gheg1238
933	English	see	sees	si	s i	385	s i	c087 v191	1409	stan1293
934	French	see	voit	vwa	v w a	386	v w a	c446 c457 v130	1409	stan1290
935	German	see	sieht	zeː	z eː	385	z eː	c078 v202	1409	stan1295
936	Hawaiian	see	`ike	ʔike	ʔ i k e	389	ʔ i k e	c405 v191 c831 v200	1409	hawa1245
937	Navajo	see	yish'į́	jiʔĩ́	j i ʔ ĩ́	388	j i ʔ ĩ	c564 v191 c405 v193	1409	nava1243
938	Turkish	see	görüyor	gør	g ø r	387	g ø r	c824 v171 c151	1409	nucl1301
939	Albanian	seed	farë	far	f a r	948	f a r	c447 v130 c151	714	gheg1238
940	English	seed	seed	sid	s i d	945	s i d	c087 v191 c143	714	stan1293
941	French	seed	graine	grɛn	g r ɛ n	946	g r ɛ n	c824 c151 v229 c105	714	stan1290
942	German	seed	Same	zaːmən	z aː m ə n	945	z aː m ə n	c078 v137 c239 v155 c105	714	stan1295
943	Hawaiian	seed	`ano`ano	ʔanoʔano	ʔ a n o ʔ a n o	950	ʔ a n o ʔ a n o	c405 v130 c105 v042 c405 v130 c105 v042	714	hawa1245
944	Navajo	seed	k'eelyéí	kˀeːljei	kˀ eː l j e i	949	kˀ eː l j e i	c841 v202 c548 c564 v200 v191	714	nava1243
945	Turkish	seed	tohum	tohum	t o h u m	-947	t o h u m	c118 v042 c401 v027 c239	714	nucl1301
946	Albanian	sew	qep	cep	c e p	646	c e p	c600 v200 c288	1457	gheg1238
947	English	sew	sews	so	s o	644	s o	c087 v042	1457	stan1293
948	French	sew	coud	kuz	k u z	644	k u z	c831 v027 c078	1457	stan1290
949	German	sew	näht	neː	n eː	643	n eː	c105 v202	1457	stan1295
950	Hawaiian	sew	humu	humu	h u m u	648	h u m u	c401 v027 c239 v027	1457	hawa1245
951	Navajo	sew	náiƚkad	nayiɬkad	n ai i ɬ k a d	647	n ai i ɬ k a d	c105 d030 v191 c534 c831 v130 c143	1457	nava1243
952	Turkish	sew	dikiyor	dik	d i k	645	d i k	c143 v191 c831	1457	nucl1301
953	Albanian	sharp	mprehtë	mpreht	m p r e h t	964	m p r e h t	c239 c288 c151 v200 c401 c118	1396	gheg1238
954	English	sharp	sharp	ʃarp	ʃ a r p	961	ʃ a r p	c677 v130 c151 c288	1396	stan1293
955	French	sharp	tranchant	trɑ̃ʃɑ̃t	t r ɑ̃ ʃ ɑ̃ t	962	t r ɑ̃ ʃ ɑ̃ t	c118 c151 v088 c677 v088 c118	1396	stan1290
956	German	sharp	scharf	ʃarf	ʃ a r f	961	ʃ a r f	c677 v130 c151 c447	1396	stan1295
957	Hawaiian	sharp	`oi	ʔoi	ʔ o i	967	ʔ o i	c405 v042 v191	1396	hawa1245
958	Navajo	sharp	deení	deːni	d eː n i	965	d eː n i	c143 v202 c105 v191	1396	nava1243
959	Turkish	sharp	keskin	keskin	k e s k i n	963	k e s k i n	c831 v200 c087 c831 v191 c105	1396	nucl1301
960	Albanian	short	shkurtër	ʃkurtər	ʃ k u r t ə r	-1150	ʃ k u r t ə r	c677 c831 v027 c151 c118 v155 c151	1645	gheg1238
961	English	short	short	ʃɔrt	ʃ ɔ r t	1150	ʃ ɔ r t	c677 v067 c151 c118	1645	stan1293
962	French	short	court	kurt	k u r t	1150	k u r t	c831 v027 c151 c118	1645	stan1290
963	German	short	kurz	kurʦ	k u r ʦ	-1150	k u r ts	c831 v027 c151 c015	1645	stan1295
964	Hawaiian	short	pōkole	poːkole	p oː k o l e	1154	p oː k o l e	c288 v035 c831 v042 c548 v200	1645	hawa1245
965	Navajo	short	yázhí	jayʒi	j ai ʒ i	1152	j ai ʒ i	c564 d030 c679 v191	1645	nava1243
966	Turkish	short	kısa	kɯsa	k ɯ s a	1151	k ɯ s a	c831 v081 c087 v130	1645	nucl1301
967	Albanian	sing	këndon	kəndo	k ə n d o	-683	k ə n d o	c831 v155 c105 c143 v042	1261	gheg1238
968	English	sing	sings	sɪŋ	s ɪ ŋ	682	s ɪ ŋ	c087 v219 c795	1261	stan1293
969	French	sing	chante	ʃɑ̃te	ʃ ɑ̃ t e	683	ʃ ɑ̃ t e	c677 v088 c118 v200	1261	stan1290
970	German	sing	singt	ziŋ	z i ŋ	682	z i ŋ	c078 v191 c795	1261	stan1295
971	Hawaiian	sing	mele	mele	m e l e	686	m e l e	c239 v200 c548 v200	1261	hawa1245
972	Navajo	sing	hataaƚ	hataːɬ	h a t aː ɬ	685	h a t aː ɬ	c401 v130 c118 v137 c534	1261	nava1243
973	Turkish	sing	şarkı söylüyor	ʃarkɯ	ʃ a r k ɯ	684	ʃ a r k ɯ	c677 v130 c151 c831 v081	1261	nucl1301
974	Albanian	sit	(rri) ndenjur	ndeɲ	n d e ɲ	984	n d e ɲ	c105 c143 v200 c589	1416	gheg1238
975	English	sit	sits	sɪt	s ɪ t	982	s ɪ t	c087 v219 c118	1416	stan1293
976	French	sit	(est) assis	asiz	a s i z	982	a s i z	v130 c087 v191 c078	1416	stan1290
977	German	sit	sitzt	ziʦ	z i ʦ	982	z i ts	c078 v191 c015	1416	stan1295
978	Hawaiian	sit	noho	noho	n o h o	986	n o h o	c105 v042 c401 v042	1416	hawa1245
979	Navajo	sit	sidá	siday	s i d ai	985	s i d ai	c087 v191 c143 d030	1416	nava1243
980	Turkish	sit	oturuyor	otur	o t u r	983	o t u r	v042 c118 v027 c151	1416	nucl1301
981	Albanian	skin	lëkurë	ləkur	l ə k u r	56	l ə k u r	c548 v155 c831 v027 c151	763	gheg1238
982	English	skin	skin	skin	s k i n	-54	s k i n	c087 c831 v191 c105	763	stan1293
983	French	skin	peau	po	p o	53	p o	c288 v042	763	stan1290
984	German	skin	Haut	haut	h au t	52	h au t	c401 d026 c118	763	stan1295
985	Hawaiian	skin	`ili	ʔili	ʔ i l i	58	ʔ i l i	c405 v191 c548 v191	763	hawa1245
986	Navajo	skin	'akágí	kaygi	k ai g i	57	k ai g i	c831 d030 c824 v191	763	nava1243
987	Turkish	skin	deri	deri	d e r i	55	d e r i	c143 v200 c151 v191	763	nucl1301
988	Albanian	sky	qiell	cieł	c i e ł	-650	c i e lˠ	c600 v191 v200 c543	1732	gheg1238
989	English	sky	sky	skai	s k ai	-651	s k ai	c087 c831 d030	1732	stan1293
990	French	sky	ciel	sjɛl	s j ɛ l	650	s j ɛ l	c087 c564 v229 c548	1732	stan1290
991	German	sky	Himmel	himəl	h i m ə l	649	h i m ə l	c401 v191 c239 v155 c548	1732	stan1295
992	Hawaiian	sky	lani	lani	l a n i	654	l a n i	c548 v130 c105 v191	1732	hawa1245
993	Navajo	sky	yá	yay	y ai	653	y ai	v166 d030	1732	nava1243
994	Turkish	sky	gök	gøk	g ø k	652	g ø k	c824 v171 c831	1732	nucl1301
995	Albanian	sleep	fle	fle	f l e	830	f l e	c447 c548 v200	1585	gheg1238
996	English	sleep	sleeps	slip	s l i p	827	s l i p	c087 c548 v191 c288	1585	stan1293
997	French	sleep	dort	dɔr	d ɔ r	828	d ɔ r	c143 v067 c151	1585	stan1290
998	German	sleep	schläft	ʃlaːf	ʃ l aː f	827	ʃ l aː f	c677 c548 v137 c447	1585	stan1295
999	Hawaiian	sleep	moe	moe	m o e	832	m o e	c239 v042 v200	1585	hawa1245
1000	Navajo	sleep	'aƚhosh	ʔaɬhoʃ	ʔ a ɬ h o ʃ	831	ʔ a ɬ h o ʃ	c405 v130 c534 c401 v042 c677	1585	nava1243
1001	Turkish	sleep	uyuyor	uju	u j u	829	u j u	v027 c564 v027	1585	nucl1301
1002	Albanian	small	vogël	vogəl	v o g ə l	297	v o g ə l	c446 v042 c824 v155 c548	1246	gheg1238
1003	English	small	small	smɔl	s m ɔ l	295	s m ɔ l	c087 c239 v067 c548	1246	stan1293
1004	French	small	petit	pətit	p ə t i t	294	p ə t i t	c288 v155 c118 v191 c118	1246	stan1290
1005	German	small	klein	klain	k l ai n	293	k l ai n	c831 c548 d030 c105	1246	stan1295
1006	Hawaiian	small	iki	iki	i k i	300	i k i	v191 c831 v191	1246	hawa1245
1007	Navajo	small	yázhí	jayʒi	j ai ʒ i	298	j ai ʒ i	c564 d030 c679 v191	1246	nava1243
1008	Turkish	small	küçük	kyʧyk	k y ʧ y k	296	k y tʃ y k	c831 v166 c645 v166 c831	1246	nucl1301
1009	Albanian	smell	marr erë	er	e r	-1037	e r	v200 c151	1586	gheg1238
1010	English	smell	smells	smel	s m e l	1035	s m e l	c087 c239 v200 c548	1586	stan1293
1011	French	smell	sent	sɑ̃t	s ɑ̃ t	1034	s ɑ̃ t	c087 v088 c118	1586	stan1290
1012	German	smell	riecht	riːx	r iː x	1033	r iː x	c151 v183 c772	1586	stan1295
1013	Hawaiian	smell	honi	honi	h o n i	1040	h o n i	c401 v042 c105 v191	1586	hawa1245
1014	Navajo	smell	yishchą́ą́'	jiʃʧã́ː	j i ʃ ʧ ã́ː	1038	j i ʃ tʃ ãː	c564 v191 c677 c645 v125	1586	nava1243
1015	Turkish	smell	koklayor	kokla	k o k l a	1036	k o k l a	c831 v042 c831 c548 v130	1586	nucl1301
1016	Albanian	smoke	tym	tym	t y m	-612	t y m	c118 v166 c239	778	gheg1238
1017	English	smoke	smoke	smok	s m o k	613	s m o k	c087 c239 v042 c831	778	stan1293
1018	French	smoke	fumée	fyme	f y m e	612	f y m e	c447 v166 c239 v200	778	stan1290
1019	German	smoke	Rauch	raux	r au x	611	r au x	c151 d026 c772	778	stan1295
1020	Hawaiian	smoke	uahi	uahi	u a h i	616	u a h i	v027 v130 c401 v191	778	hawa1245
1021	Navajo	smoke	ƚid	ɬid	ɬ i d	615	ɬ i d	c534 v191 c143	778	nava1243
1022	Turkish	smoke	duman	duman	d u m a n	614	d u m a n	c143 v027 c239 v130 c105	778	nucl1301
1023	Albanian	smooth	lëmuet	ləmo	l ə m o	880	l ə m o	c548 v155 c239 v042	1234	gheg1238
1024	English	smooth	smooth	smuð	s m u ð	878	s m u ð	c087 c239 v027 c415	1234	stan1293
1025	French	smooth	lisse	lis	l i s	877	l i s	c548 v191 c087	1234	stan1290
1026	German	smooth	glatt	glat	g l a t	876	g l a t	c824 c548 v130 c118	1234	stan1295
1027	Hawaiian	smooth	malino	malino	m a l i n o	883	m a l i n o	c239 v130 c548 v191 c105 v042	1234	hawa1245
1028	Navajo	smooth	dilkǫǫh	dilkõːh	d i l k õː h	881	d i l k õː h	c143 v191 c548 c831 v028 c401	1234	nava1243
1029	Turkish	smooth	düz	dyz	d y z	879	d y z	c143 v166 c078	1234	nucl1301
1030	Albanian	snake	gjarpër	ɟarpər	ɟ a r p ə r	656	ɟ a r p ə r	c603 v130 c151 c288 v155 c151	730	gheg1238
1031	English	snake	snake	snek	s n e k	657	s n e k	c087 c105 v200 c831	730	stan1293
1032	French	snake	serpent	sɛrpɑ̃	s ɛ r p ɑ̃	656	s ɛ r p ɑ̃	c087 v229 c151 c288 v088	730	stan1290
1033	German	snake	Schlange	ʃlaŋə	ʃ l a ŋ ə	655	ʃ l a ŋ ə	c677 c548 v130 c795 v155	730	stan1295
1034	Hawaiian	snake	naheka	naheka	n a h e k a	-657	n a h e k a	c105 v130 c401 v200 c831 v130	730	hawa1245
